Description,Extension,Category,MIME type
Stereo CAD-3D 2.0 Image File,.3d2,3D Images,Unknown
Processing Development Environment Source Code File,.pde,Developer Files,Unknown
MacGourmet Deluxe Database File,.mgdatabase,Misc Files,Unknown
Light Work Image,.lwi,Images,Unknown
Tiled JPEG File,.tjp,Raster Images,Unknown
AbiWord Auto-Saved Document,.bak~,Backup Files,Unknown
Adobe Photoshop Brushes,.abr,Misc Files,Unknown
Corel CMX Compressed File,.cpx,Raster Images,Unknown
MU Online Image File,.ozt,Raster Images,Unknown
Apple TV Database,.tvdb,Database Files,Unknown
Portrait Innovations Photo,.pi2,Raster Images,Unknown
Vue Atmospheres File,.atm,3D Images,Unknown
Autodesk FBX Interchange File,.fbx,3D Images,Unknown
PlayStation Portable Movie,.pmf,Video,Unknown
DiskDupe Disk Image,.ddi,Disk Images,Unknown
Unix Korn Shell Script,.ksh,Executable,text/plain
Blender Document Backup 2 File,.blend2,Backup Files,Unknown
Video easy Project File,.mvy,Video,Unknown
Gary Gadget Plug-in,.cst,Plugin Files,application/x-director
SAS Transport File,.xpt,Data Files,Unknown
Sticker Doodle Sticker,.stkdoodlz,Compressed,Unknown
Microsoft Open XML Macro-Enabled PowerPoint Template,.potm,Metadata Files,application/vnd.ms-powerpoint.template.macroenabled.12
AutoCAD Block Template File,.blk,CAD Files,Unknown
ReadWriteThink Printing Press Draft,.rwt,Page Layouts,Unknown
MakeHuman Model,.mhm,3D Images,Unknown
Parallels Desktop Copied Configuration File,.pvc,Backup Files,Unknown
VodaHost BlueVoda Project File,.bvp,Data Files,Unknown
IDRISI Vector File,.vec,GIS Files,Unknown
RafflePrinter Document,.rptr,Page Layouts,Unknown
PKCS #7 Digital Certificate File,.p7,Web Files,Unknown
Rational DOORS Script,.dxl,Executable,Unknown
Re-Volt Mipmap File,.bmq,Raster Images,Unknown
AutoIt v3 Script,.au3,Developer Files,Unknown
PlanMaker Spreadsheet Template,.pmv,Spreadsheet,Unknown
WIOT Ransomware Encrypted File,.wiot,Encoded Files,Unknown
Oblivion Mod Archive,.omod,Game Files,Unknown
AFDKO Feature Definitions File,.fea,Font Files,Unknown
Director Preferences File,.prf,Settings Files,application/pics-rules
iWeb Theme Template,.webtheme,Page Layouts,Unknown
MATLAB Toolbox Package,.mltbx,Plugin Files,Unknown
Wireless Bitmap Image,.wbm,Raster Images,Unknown
MySQL Workbench Document,.mwb,Database Files,Unknown
Apple Filing Protocol Location,.afploc,Misc Files,Unknown
Sony Network Camera Video,.m4f,Video,Unknown
LIDAR Point Cloud Data File,.e57,3D Images,Unknown
BIM Explorer File,.bimx,CAD Files,Unknown
Progressive Web Application Manifest,.webmanifest,Web Files,application/manifest+json
Optigraphics Tiled Image,.ttf,Images,application/x-font-ttf
Sun Rasterfile,.rs,Images,application/rls-services+xml
Magick Vector Graphics File,.mvg,Vector Images,Unknown
Finale 2012 Auto-Saved Score,.asv,Backup Files,Unknown
Broadleaf Tree Model,.bro,3D Images,Unknown
Python Optimized Code,.pyo,Executable,application/x-python-code
Spatial Data Modeling Language File,.sdm,GIS Files,Unknown
KeePass 2.x Plugin,.plgx,Plugin Files,Unknown
EximiousSoft GIF Creator Document,.egc,Vector Images,Unknown
Divinity 2 Data File,.dv2,Game Files,Unknown
AutoCAD Data Extraction Template,.dxe,CAD Files,Unknown
Archicad Solo Project,.pln,CAD Files,Unknown
MrSID World File,.sdw,GIS Files,application/vnd.stardivision.writer
Render Plug-in,.rpi,Plugin Files,Unknown
HyperRESEARCH 2 Study File,.hs2,Data Files,Unknown
Fujifilm RAW Image,.raf,Camera Raw Image,image/x-fuji-raf
86Box Floppy Disk Image,.86f,Disk Images,Unknown
Business Contact Manager Customization,.bcmx,Settings Files,Unknown
After Effects Plug-in,.aex,Plugin Files,Unknown
Serialized Certificate Store File,.sst,Misc Files,Unknown
iMazing iPhone Backup,.imazing,Backup Files,Unknown
Dolby Cinema Print Master File,.rpl,Audio,Unknown
Misnamed BZ2 Tarball,.tar.gz2,Compressed,Unknown
Jakarta Server Page,.jsp,Web Files,Unknown
Microsoft Mathematics Worksheet,.gcw,Data Files,Unknown
openCanvas 5 Event File,.oc5,Raster Images,Unknown
SimLab VR Package,.vrpackage,Compressed,Unknown
Sticky Notes File,.snt,Misc Files,Unknown
Subversion Cache File,.svn-work,Misc Files,Unknown
High Compression Audio File,.hca,Audio,Unknown
Mass Effect Package,.pcc,Game Files,Unknown
Nintendo Content Archive,.nca,Game Files,Unknown
Amiga Yabba Compressed Archive,.y,Compressed,Unknown
SPSS Analysis Plan File,.csaplan,Settings Files,Unknown
Jnes Save State,.jst,Game Files,Unknown
SSOI Ransomware Encrypted File,.ssoi,Encoded Files,Unknown
Game Cache File,.gcf,Game Files,application/x-graphing-calculator
Serif PhotoPlus Picture File,.spp,Raster Images,application/scvp-vp-response
Form•Z Project File,.fmz,CAD Files,Unknown
ARF Image,.arf,Images,Unknown
ProofVision Job Ticket,.pvj,Text,Unknown
CloneCD DVD Information File,.dvd,Disk Images,Unknown
Puzzle Image,.pzl,Images,Unknown
Sound Forge Pro Audio Proxy File,.sfap0,Audio,Unknown
Live Picture IVUE Image,.ivue,Raster Images,Unknown
Amiga LZX Compressed Archive,.lzx,Compressed,application/x-lzx
ARCHOS PCtablet Firmware File,.aos,System Files,Unknown
Eroiica Image,.eif,Images,Unknown
Bio-Rad Gel Image,.scn,Raster Images,Unknown
MioEngine Application File,.mio,Executable,Unknown
Pocket Word Document,.psw,Text,Unknown
GodMode9 Script,.gm9,Executable,Unknown
XYWrite III Plus Document,.xyp,Text,Unknown
Ami Pro Document,.sam,Text,application/vnd.lotus-wordpro
RedVox Infrasound Recorder Audio File,.rdvxz,Audio,Unknown
Age of Empires 3: The Asian Dynasties Recording,.age3yrec,Game Files,Unknown
dBASE Label File (Legacy),.lbl,Page Layouts,Unknown
Windows Mobile Encrypted File,.menc,Data Files,Unknown
Multi Boot Image,.mbn,System Files,Unknown
Windows Provisioning Package,.ppkg,Settings Files,application/vnd.xmpie.ppkg
TextMate Language Grammar File,.tmlanguage,Developer Files,Unknown
Digital Theater Systems Audio File,.dts,Audio Files,audio/vnd.dts
Vue Objects File,.vob,3D Images,Unknown
MTV Video Format File,.mtv,Video,Unknown
IN-HEH Timeline Workspace,.ihw,Settings Files,Unknown
SketchUp Style,.style,Settings Files,Unknown
Subsampled Raw YUV Image,.u,Raster Images,Unknown
Qrt Ray-Tracer Image,.qrt,Images,Unknown
Genetic Art Image Parameters,.ga,Settings Files,Unknown
Android App Bundle Mirror,.apkm,Encoded Files,Unknown
Readme File,.readme,Text,Unknown
Memory Map Overlay File,.mmo,Misc Files,Unknown
Windows Virtual Machine Configuration File,.vmc,Settings Files,Unknown
TM1 Exported Cube File,.cma,Database Files,Unknown
Age of Empires 3: The WarChiefs Save File,.age3xsav,Game Files,Unknown
Validated Dalvik Executable File,.vdex,System Files,Unknown
Blu-ray AVC Video,.bsf,Video,Unknown
Amazon Kindle eBook Data File,.han,eBook,Unknown
Family Tree Maker for DOS Backup File,.fbc,Backup Files,Unknown
VirusBarrier X6 Settings File,.vbx6settings,Settings Files,Unknown
Music Finder Database,.mfd,Database Files,Unknown
DX Series Exported Video File,.exp,Video,application/express
Vue Functions File,.fnc,3D Images,application/vnd.frogans.fnc
Legacy Family Tree Database,.fdb,Database Files,Unknown
General CADD Pro Component,.gxc,CAD Files,Unknown
Stick Nodes 2D Object,.nodes,Vector Images,Unknown
Android Package File,.apk,Executable,application/vnd.android.package-archive
Minder Mind Map,.minder,Page Layouts,Unknown
iWeb Widget File,.iwdgt,Web Files,Unknown
Microsoft Access Macro,.mam,Executable,Unknown
Lempel-Ziv and Haruyasu Compressed Archive,.lzh,Compressed Files,application/octet-stream
JScript Encoded File,.jse,Executable,Unknown
Active Server Page Source File,.asp,Source Code,Unknown
Mascom PVR Video File,.tp0,Video,Unknown
Enhanced Image Package File,.eip,Camera Raw Image,Unknown
NeXtMidas Macro File,.mm,Executable,application/x-freemind
Powernoodle File (Discontinued),.pn,Misc Files,Unknown
Flash Video,.flv,Video,video/x-flv
Interface Definition Language File,.idl,Developer Files,Unknown
Microsoft Excel Spreadsheet (Legacy),.xls,Spreadsheet,application/vnd.ms-excel
Windows Script,.ws,Executable,Unknown
Canvas Painting,.can,Raster Images,Unknown
Pleco Chinese Dictionary Backup File,.pqb-backup,Backup Files,Unknown
HF Image,.hf,Images,Unknown
Crazy Machines 2 Object File,.fst,Game Files,image/vnd.fst
Asphyre Sphinx Archive File,.asvf,Developer Files,Unknown
Truevision Targa Image,.tga,Images,Unknown
Canadian TurboTax 2010 Backup File,.ttbk,Backup Files,Unknown
Gzip Compressed Tar Archive,.tg,Compressed,Unknown
Generic Printer Description File,.gpd,Text,Unknown
Alice Object File,.a2c,3D Images,Unknown
JBuilder Project,.jpr,Developer Files,Unknown
Apache OpenOffice 1.0 Master Document,.sxg,Documents,application/vnd.sun.xml.writer.global
TARGET 3001! Circuit Design Project File,.t3001,CAD Files,Unknown
InstallShield Boot File,.boot,Settings Files,Unknown
MilkShape 3D Model,.ms3d,3D Images,Unknown
CPU-Z Validation File,.cvf,Misc Files,Unknown
Photopaint Image,.apx,Images,Unknown
AMC Video File,.amc,Video,Unknown
ESRI ArcInfo Binary Grid Format,.adf,GIS Files,Unknown
NeroVision Express Project File,.nvc,Video,Unknown
Studio DV Project File,.sdv,Video,Unknown
Artweaver Document,.awd,Raster Images,Unknown
Macromedia Design Note,.mno,Data Files,Unknown
OMF Interchange Image File,.omf,Raster Images,Unknown
Zero Administration Package File,.zap,Settings Files,Unknown
Kryptel Lite Encrypted File,.edc,Misc Files,Unknown
LackeyCCG Card Deck File,.dek,Game Files,Unknown
iSale License File,.isallic,Page Layouts,Unknown
Encapsulated PostScript Image,.eps,Images,application/postscript
Pro/ENGINEER Part Instance Accelerator File,.xpr,3D Images,application/vnd.is-xpr
GTA Item Placement File,.ipl,Game Files,Unknown
TomeRaider 2 eBook File,.tr,eBook,text/troff
FilePackager Configuration,.fxc,Developer Files,Unknown
AlpineQuest XML Map Configuration,.aqx,GIS Files,Unknown
Silicon Graphics RGB Image,.rgba,Images,Unknown
Send To My Documents,.mydocs,System Files,Unknown
XBEL Bookmarks File,.xbel,Web Files,Unknown
Pixelmator Gradient File,.pxg,Settings Files,Unknown
HFS Disk Image,.hfv,Disk Images,Unknown
Privacy Enhanced Mail Certificate,.pem,Web Files,application/pem-certificate-chain
Pixar Image,.pixar,Images,Unknown
Apple IIGS Disk Image,.2mg,Disk Images,Unknown
Conti Ransomware Encrypted File,.conti,Encoded Files,Unknown
Edit Decision List File,.edl,Video,Unknown
Chameleon Clock Wallpaper File,.wcz,Settings Files,Unknown
MP3 Ringtone File,.rbs,Audio,Unknown
CDU Paint Image,.cdu,Images,Unknown
WavPack Correction File,.wvc,Audio,Unknown
zebNet Backup File Extended,.zbfx,Backup Files,Unknown
Rational Rose Model File,.mdl,Data Files,Unknown
CuteFTP Search File,.sfo,Settings Files,Unknown
Velconoe Write Document,.vwr,Text,Unknown
BlackBerry Application Loader XML File,.alx,Settings Files,Unknown
PixelCryptor Encrypted File,.cgp,Encoded Files,Unknown
Adobe Save For Web Settings,.irs,Settings Files,Unknown
Outlook Express E-mail Folder,.dbx,Misc Files,Unknown
iPhoto Spot File,.ipspot,Text,Unknown
rFactor Player File,.plr,Game Files,Unknown
BFLI Image,.bfl,Images,Unknown
DVD Shrink Part 1 File,.i00,Disk Images,Unknown
messiahStudio Project File,.mpj,3D Images,Unknown
Navigation POI File,.idx,Data Files,Unknown
ZSNES Slot 2 Saved State File,.zs2,Game Files,Unknown
WordPerfect Document,.wpd,Text,application/vnd.wordperfect
InfoZoom Protected Data File,.fop,Data Files,Unknown
iWeb Website Design Project,.sites2,Web Files,Unknown
Windows Live Mail Email File,._eml,Misc Files,Unknown
Ink Serialized Format,.isf,Vector Images,Unknown
Android Interface Definition Language File,.aidl,Developer Files,Unknown
SyncBack Settings File,.sps,Backup Files,Unknown
DivX Video File,.dvx,Video,Unknown
MPEG-2 Video,.mpeg2,Videos,Unknown
ConceptDraw MINDMAP Template,.cdmt,Vector Images,Unknown
Irrlicht Static Mesh File,.irrmesh,3D Images,Unknown
Virtual Disc Definition File,.vcx,Disk Images,application/vnd.vcx
Femap Model,.mod,CAD Files,application/xml-dtd
Poser Camera Set File,.cm2,3D Images,Unknown
Xojo XML Project File,.xojo_xml_project,Developer Files,Unknown
Sound Forge Audio Studio Project,.sfas,Audio,Unknown
AVIF Image Sequence,.avifs,Raster Images,image/avif
Symantec Virus Database File,.vdb,Data Files,Unknown
Parallels Packed Virtual Machine,.pvmp,Compressed,Unknown
XXEncoded File,.xx,Compressed,Unknown
Emerald Theme,.emerald,System Files,Unknown
Channel Definition Format,.cdf,Web Files,application/x-netcdf
Titanium Backup File,.tibkp,Backup Files,Unknown
ARRIRAW Image,.ari,Camera Raw Image,Unknown
Windows Media Download Package,.wmd,Video,application/x-ms-wmd
Adobe Peak Waveform File,.pek,Audio,Unknown
QGIS Map Projection File,.qpj,GIS Files,Unknown
Leica RAW Image,.rwl,Camera Raw Image,image/x-panasonic-raw
TeamViewer Video Session File,.tvs,Video,Unknown
Sony Portable Reader File,.lrx,eBook,Unknown
Unity Prefab File,.prefab,3D Images,Unknown
V-Comp Setup File,.vcomps,Settings Files,Unknown
Apache OpenOffice 1.0 HTML Template,.stw,Documents,application/vnd.sun.xml.writer.template
Scribus Document,.sla,Text,application/vnd.scribus
Band-in-a-Box Styles File,.sty,Audio,text/x-tex
Metro 2033 Sound File,.vfs0,Game Files,Unknown
MapInfo Data File,.mid,GIS Files,audio/midi
System Center Configuration Manager Package File,.pck,System Files,Unknown
Indeo Video Format File,.ivf,Video,Unknown
TimeMap Visual,.tmv,Spreadsheet,Unknown
Navitel Map,.nm2,GIS Files,Unknown
Avant Browser Skin File,.skn,Settings Files,Unknown
iPod Game File,.ipg,Compressed,Unknown
Indigo Renderer Mesh File,.igmesh,3D Images,Unknown
ActionScript Byte Code File,.abc,Developer Files,text/vnd.abc
Logic Pro Overview File,.ovw,Audio,Unknown
Adobe Lightroom Module,.lrmodule,Plugin Files,Unknown
Maya Plug-in,.mll,Plugin Files,Unknown
Microsoft Office Macro Reference File,.mso,Misc Files,Unknown
AsciiDoc Document,.adoc,Text,Unknown
Adobe Captivate Preferences File,.cpr,Settings Files,Unknown
Granny 3D File,.gr2,Game Files,Unknown
Finale Temporary File,.tmp,Backup Files,Unknown
CATIA V5 Part File,.catpart,CAD Files,Unknown
Zipped ISO Disk Image,.isz,Disk Images,Unknown
Exchange Streaming Media File,.stm,Data Files,Unknown
Smacker Compressed Movie File,.smk,Video,video/vnd.radgamettools.smacker
Adobe Extension Data Markup Language Document,.edml,Developer Files,Unknown
SQL Server Compact Database File,.sdf,Database Files,chemical/x-mdl-sdfile
KeepSafe File,.ksd,Encoded Files,Unknown
Microsoft Help Container File,.mshc,Developer Files,Unknown
Dali Raw Image,.sd2,Images,audio/x-sd2
Kaspersky Quarantine File,.klq,Encoded Files,Unknown
Pocket PC Handwritten Note,.ink,Vector Images,application/inkml+xml
LogonStudio Windows XP Logon Screen,.logonxp,Misc Files,Unknown
Kodak EasyShare Data File,.mbb,Misc Files,Unknown
MikuMikuDance Model File,.pmx,3D Images,Unknown
CPC Compressed Image File,.cpc,Raster Images,Unknown
AppleScript Script Terminology File,.scriptterminology,Developer Files,Unknown
ZipForm File,.zfx,Page Layouts,Unknown
Object File Format,.off,3D Images,Unknown
Heroes of the Storm Replay File,.stormreplay,Game Files,Unknown
Adobe LiveCyle Designer Template,.tds,Page Layouts,Unknown
ArtRage Painting,.ptg,Raster Images,Unknown
Studio Store Visualizer Project,.vtpr,Settings Files,Unknown
Bink Video 2 File,.bk2,Video,video/vnd.radgamettools.bink
VST Audio Plug-in,.vst,Plugin Files,application/vnd.visio
Finale Notation File,.musx,Audio,Unknown
iGrafx FlowCharter File,.flo,Data Files,application/vnd.micrografx.flo
Nota Bene File,.nb,Text,application/mathematica
BookBuddi eBook,.bkk,eBook,Unknown
BinHex Encoded File,.bhx,Encoded Files,Unknown
AT&T Group 4 Image,.att,Images,Unknown
PaintShopPro Mask,.msk,Images,Unknown
Microsoft Excel Database,.xld,Database Files,Unknown
Android Passcode File,.key,System Files,application/pgp-keys
BCArchive Encrypted Archive,.bca,Encoded Files,Unknown
Celestia Font Texture File,.txf,Font Files,application/vnd.mobius.txf
Zoo Tycoon 2 Data File,.dl,Game Files,video/dl
Windows Font File,.fnt,Font Files,Unknown
My Drivers Backup Setup File,.diy,Backup Files,Unknown
ODF Presentation Template,.otp,Metadata Files,application/vnd.oasis.opendocument.presentation-template
XRDML Data File,.xrdml,Data Files,Unknown
Microsoft Photo Story Project File,.wp3,Video,Unknown
Outlook File Template,.oft,Data Files,Unknown
Free Folder Hider Backup File,.prv,Backup Files,Unknown
Audition Loop,.cel,Audio,Unknown
ERwin Backup File,.bk1,Backup Files,Unknown
Ensoniq SQ1/SQ2/KS32 Disk Image,.edq,Disk Images,Unknown
GraphPad Prism Project,.pzf,Page Layouts,Unknown
Print to File,.prn,Page Layouts,Unknown
ADTS Audio File,.adt,Audio,Unknown
Snagit Stamp Archive,.snagitstamps,Compressed,Unknown
TI-83 Calculator File,.83p,Misc Files,Unknown
dBASE II Database,.db2,Database Files,Unknown
Artlantis Shader Preview File,.prw,Raster Images,Unknown
Canon CD Label Template,.cld,Page Layouts,Unknown
Cheetah3D Model File,.jas,3D Images,Unknown
ImgBurn Project File,.ibb,Disk Images,Unknown
Bosca Ceoil Song,.ceol,Audio,Unknown
Lotus Symphony Worksheet File,.wr1,Spreadsheet,Unknown
Brasero Table of Contents File,.toc,Disk Images,Unknown
Zooming Markup Language File,.zml,Misc Files,Unknown
Lotus Domino Key Ring File,.kyr,Misc Files,Unknown
Language Model File,.lm,System Files,Unknown
DIVA-GIS Project File,.div,GIS Files,Unknown
Markdown Documentation File,.markdown,Developer Files,text/markdown
Cascading Style Sheet,.css,Web Files,text/css
XML Paper Specification File,.xps,Page Layouts,application/vnd.ms-xpsdocument
YanCEyWare eBook,.ybk,eBook,Unknown
WCS Gamut Map Model Profile,.gmmp,System Files,Unknown
TurboTax Install Log File,.lyt,Text,Unknown
Invivo Image,.inv,Raster Images,Unknown
Ruby Script,.rbw,Developer Files,Unknown
Outlook Macro File,.otm,Executable,application/vnd.oasis.opendocument.text-master
MikuMikuDance Vocaloid Pose Data File,.vpd,3D Images,Unknown
Double-Precision Spectral Image,.dsi,3D Images,Unknown
CLEO Grand Theft Auto Mod File,.cleo,Plugin Files,Unknown
Audition Session (Legacy),.ses,Audio,Unknown
OpenIV Mod Package File,.oiv,Plugin Files,Unknown
CFS Console Add-on,.addon,Plugin Files,Unknown
Scrapbook Factory File,.sbk,Page Layouts,Unknown
Resource Script,.rc,Developer Files,Unknown
Portable Bitmap Image,.rpbm,Images,Unknown
PlayStation Portable Resource File,.rco,System Files,Unknown
Compressed Bitmap Image,.bmz,Raster Images,Unknown
WordPerfect Workbook,.wbk,Text,Unknown
Scrambls Encrypted File,.scb,Encoded Files,Unknown
JPEG 2000 Code Stream,.j2c,Raster Images,Unknown
Flexible Image Transport System File,.fits,Raster Images,image/fits
FPS Creator Game Project File,.fpg,Game Files,Unknown
Microsoft AutoRoute Template,.axt,GIS Files,Unknown
