Description,Extension,Category,MIME type
LumaFusion Legacy Project,.spryzip,Video,Unknown
PlayStation Shader Language File,.pssl,Game Files,Unknown
Valve Texture Format,.vtf,Game Files,image/vnd.valve.source.texture
CD Digital Audio File,.cdda,Audio,Unknown
HP System Software Manager Information File,.cva,Settings Files,Unknown
Windows PowerShell Script Module File,.psm1,Developer Files,Unknown
TI-89 Titanium Operating System File,.89u,System Files,Unknown
Sfera 360° File,.sfera,Video,Unknown
Calamus Vector Graphic File,.cvg,Vector Images,Unknown
Norton Ghost Image Segment,.ghs,Backup Files,Unknown
Acorn Image,.acorn,Raster Images,Unknown
Adobe Device Profile Package,.adpp,Settings Files,Unknown
Sound Designer Audio File,.sd,Audio,chemical/x-mdl-sdfile
Logicly Integrated Circuit Library,.logiclylib,CAD Files,Unknown
VSphere Installation Bundle,.vib,Compressed,Unknown
iOS iMovie Project,.imoviemobile,Video,Unknown
High Level Shader Language File,.hlsl,3D Images,Unknown
id Tech 4 Model Camera File,.md5camera,3D Images,Unknown
Presto Project Spreadsheet,.presto,Spreadsheet,Unknown
COW App Extractor File,.extr,Encoded Files,Unknown
Check Point License Request File,.lrs,Misc Files,Unknown
Wallet Ransomware,.wallet,Encoded Files,Unknown
Minecraft User Credential File,.lastlogin,Encoded Files,Unknown
Access Data Access Page,.maw,Database Files,Unknown
WordClouds.com Save File,.wcld2,Misc Files,Unknown
ALZip Archive,.egg,Compressed,Unknown
Desktop Poet Word List File,.wordlist,Misc Files,Unknown
Bitmap Font Configuration,.bmfc,Font Files,Unknown
Emergency 3 and 4 Model File,.v3o,3D Images,Unknown
GoToMeeting Recording File,.g2m,Video,Unknown
Printfox/Pagefox Image,.pg,Images,Unknown
QuickLook Plugin,.qlplugin,Plugin Files,Unknown
Rbot.CYW Worm File,.cyw,Executable,Unknown
Wondershare Filmora Project File,.wve,Settings Files,Unknown
Magellan Map File,.imi,GIS Files,application/vnd.imagemeter.image+zip
Chromium Extension,.crx,Plugin Files,Unknown
Printer Font ASCII File,.pfa,Font Files,application/x-font-type1
My Time Data File,.imt,Data Files,Unknown
Artisan 6 Page,.a6page,Page Layouts,Unknown
DriveCam Event,.dce,Video,Unknown
Palm OS Bitmap Image,.palm,Raster Images,Unknown
BlueJ Context File,.ctxt,Developer Files,Unknown
Geocortex Viewer for Silverlight Project,.gvsp,GIS Files,Unknown
Mass Effect 2 Saved Game,.pcsav,Game Files,Unknown
Lenovo BIOS Update File,.fl1,System Files,Unknown
SiteSucker Website File,.suck,Web Files,Unknown
Maxthon Skin File,.mxskin,Settings Files,Unknown
TechSmith Camtasia Project,.tscproj,Settings Files,Unknown
Windows Journal File,.jnt,Data Files,Unknown
ConceptDraw DIAGRAM SlideShow,.cdsz,Misc Files,Unknown
Inventor Design View,.idv,CAD Files,Unknown
Greenfoot Archive,.gfar,Developer Files,Unknown
PyFileEncrypt Encrypted File,.pyenc,Encoded Files,Unknown
Family Tree Maker File,.ftw,Data Files,Unknown
Nikon Photo Index File,.njb,Misc Files,Unknown
Embedded SQL File,.eql,Developer Files,Unknown
Sub Station Alpha Subtitle File,.ssa,Video,Unknown
LabVIEW VI Library Backup File,.llx,Backup Files,Unknown
Squeak Virtual Image,.image,Disk Images,Unknown
WinHKI Archive,.hki,Compressed,Unknown
Barna Word Processor Document,.bna,Text,Unknown
MindGenius 2-3 Template,.mgmt,Vector Images,Unknown
Wolfram Language Package,.wl,Misc Files,Unknown
Akeeba Multi-part Backup Archive,.j01,Backup Files,Unknown
Live Interior 3D Compressed Document,.lizd,CAD Files,Unknown
WebEx Media File,.ucf,Web Files,Unknown
Leapfrog Viewer Scene,.lfview,CAD Files,Unknown
Animate JSFL Script File,.jsfl,Developer Files,Unknown
HTML Document Template,.oth,Documents,application/vnd.oasis.opendocument.text-web
Outlook 2000 Nickname File,.nick,Misc Files,Unknown
Microsoft Office SmartArt Styles File,.gqsx,Settings Files,Unknown
Silkroad Online Game Data File,.pk2,System Files,Unknown
Microsoft Access Database Template,.accdt,Database Files,Unknown
Write! Document,.wtt,Text,Unknown
Live Interior 3D Document,.li3d,CAD Files,Unknown
id Tech 4 Model Animation File,.md5anim,3D Images,Unknown
Localized PDF File,.lpdf,Page Layouts,Unknown
TI Bitmap Image,.86i,Images,Unknown
ZSNES Movie #2 File,.zm2,Video,Unknown
RPG Maker Map File,.lmu,Game Files,Unknown
Access Project Extension,.ade,Database Files,Unknown
Mavica Image,0.411,Images,Unknown
Extensible Hypertext Markup Language File,.xhtml,Web Files,application/xhtml+xml
Windows Directory Query File,.qds,Misc Files,Unknown
Forth Language File,.forth,Developer Files,Unknown
Microsoft PowerPoint Add-in,.ppa,Plugin Files,application/vnd.ms-powerpoint
Synapse 3 Chroma Configuration,.chromaeffects,Settings Files,Unknown
Google Sites Shortcut,.gsite,Text,Unknown
