Extension,Metadata,Category,MIME Type
.bay,Kodak/Roper Bayer picture sequence,Video,
.vdr,VirtualDub Frame Server file format,Video,
.scm,Lotus ScreenCam movie,Video,application/vnd.lotus-screencam
.mvv,AVS Media Player MPEG video file,Video,
.hls,HTTP live streaming video,Video,
.svcd,SVCD video,Video,
.mbv,JVC Everio MediaBrowser movie,Video,
.hlv,Multimedia data,Video,
.s4ud,Samsung Smart TV video,Video,
.stj,STLabs video data,Video,
.splash,Splash Pro EX video,Video,
.jpv,IVC video format,Video,
.imovieproj,iMovie project,Video,
.flvat,Downloaded Flash video,Video,
.st4,Pinnacle Studio 400 project,Video,
.dpg,nDs-mPeG video data,Video,application/vnd.dpgraph
.pyv,Microsoft PlayReady video,Video,video/vnd.ms-playready.media.pyv
.dof,DOSBox capture movie file,Video,
.ml20,Mercury Messenger for Mac video data,Video,
.800,Security cam footage file,Video,
.tvv,TV NOW Portable Video Recorder video format,Video,
.tvs,VectorMAX streaming video,Video,
.film,Filmkey Player media data,Video,
.hnm,Cryo HNM movie soundtrack,Video,
.nxv,NXV video data,Video,
.flh,Flash Video High Definition file,Video,
.demo4,Unreal Tournament 2004 demo,Video,
.aec,Cinema 4D Adobe After Effects import composition,Video,
.xtodvd,ConvertXtoDVD project,Video,
.aqt,AQTitle subtitles,Video,
.mgv,Sony PSP video data,Video,
.pmp,PMP video file,Video,
.gxf,General Exchange Format video data,Video,
.vcm,Interwise participant recorded WebCast data,Video,
.261,H.261 encoded video,Video,
.vid,SymbOS VID video,Video,
.dwz,Ulead DVD MovieFactory project file,Video,
.rcrec,LogMeIn PRO remote control session recording,Video,
.el8,eLecta Live recording,Video,
.vs2,Corel VideoStudio 2 data,Video,
.scn,Pinnacle Studio scene,Video,
.mpeg1,Multiplexed MPEG-1/2 video,Video,
.h4v,H.264 / MPEG-4 AVC,Video,
.wmv3,Video data,Video,
.s11,Sealed MPEG-1 video,Video,
.dsm,Media Player Classic DSM streaming container,Video,
.mmp,Multimedia player movie clip,Video,
.jmm,JVC recorded multimedia data,Video,
.mio,MIO multimedia data,Video,
.rtsp,Apple QuickTime real-time streaming protocol,Video,
.mpe,MPEG movie (Motion Pictures Experts Group),Video,video/mpeg
.dvddata,TMPGEnc DVD Author video data,Video,
.fvt,Fast Search & Transfer video format,Video,video/vnd.fvt
.moo,Apple QuickTime movie clip file,Video,
.l3,L3 DRM protected video,Video,
.tp0,Mascom PVR video,Video,
.mcf,MCF Media Container file,Video,
.noa,Japanese movie format,Video,
.yts,YTS YIFY video,Video,
.3gp2,3GPP2 multimedia data,Video,audio/mp4
.svi,Samsung video data,Video,
.m1s,MPEG-1 system stream,Video,
.c2r,Microsoft Windows Media Center click-to-record data,Video,
.vg,VGuard H.264 video,Video,
.ncor,Adobe Encore project,Video,
.qtc,Apple QuickTime support data,Video,
.sbst,Adobe Soundbooth score template,Video,
.axm,Axmedis object,Video,
.bbv,PPLive data,Video,
.3gpp2,Multimedia files for wireless networks,Video,audio/mp4
.wm3,VisualNastran movie file,Video,
.hdmov,Apple QuickTime HD Movie,Video,
.sqz,Squeeze project,Video,
.rmhd,RealMedia High Definition video,Video,
.ev2,Emblaze Video Format,Video,
.wm,Windows Media audio or video data,Video,video/x-ms-wm
.rec_part2,Walker File Format,Video,
.am2,AutoPlay Menu Studio ver.2 data,Video,
.htp,Honest Technology Video Editor project,Video,
.l32,Swift line 21 caption data,Video,
.4xm,4XM video format,Video,
.bub,Photobubble data,Video,
.vivo,RealNetworks VivoActive movies and audio,Video,
.vc1,VC-1 video data,Video,
.nvl,Netviewer Meet session record,Video,
.xas,Sony Playstation video file,Video,
.osp,OpenShot project,Video,
.ftvx,FLV Editor project,Video,
.moov,Apple QuickTime movie file,Video,
.qtm,Apple QuickTime movie,Video,
.dvdrip,DVD disk image,Video,
.tivo,TiVo video data,Video,
.rpl,Escape Replay compressed video,Video,
.bix,Kodicom video recording,Video,
.wfsp,Wondershare Fantashow project,Video,
.zeg,ZeroG subtitles file,Video,
.flm,Adobe Premiere filmstrip,Video,
.roq,RoQ video format,Video,
.am7,AutoPlay Menu Studio ver.7 data,Video,
.pxv,Pixbend media,Video,
.$ts,DTC 2030 recorded movie,Video,
.uvs,UVScreenCamera segments,Video,
.mp7,Portable Media player 7 data,Video,
.fli_,Autodesk Animator FLIC animation old format,Video,
.viewlet,Qarbon Viewlet,Video,
.lza,LZA video data,Video,
.ssw,Sealed Flash data,Video,
.mvr,IBM HotMedia multimedia data,Video,
.mp4v,MPEG-4 video data,Video,video/mp4
.rki,Race-Keeper video,Video,
.kava,Autopano Video Pro video,Video,
.pproj,Adobe Premiere Pro project,Video,
.drc,Dirac video format,Video,
.ogx,Ogg Vorbis multiplex profile,Video,application/ogg
.mmm,MultiMedia Movie format (RIFF RMMP),Video,
.xmm,GEX MP3 satellite receiver saved data,Video,
