Description,Extension,Category,MIME type,,,,,
Filmkey Player media data,.film,Video,application/octet-stream,,,,,
Cryo HNM movie soundtrack,.hnm,Video,application/octet-stream,,,,,
NXV video data,.nxv,Video,application/octet-stream,,,,,
Flash Video High Definition file,.flh,Video,application/octet-stream,,,,,
Unreal Tournament 2004 demo,.demo4,Video,application/octet-stream,,,,,
Cinema 4D Adobe After Effects import composition,.aec,Video,application/octet-stream,,,,,
ConvertXtoDVD project,.xtodvd,Video,video/x-aqt,,,,,
AQTitle subtitles,.aqt,Video,application/octet-stream,,,,,
Sony PSP video data,.mgv,Video,application/octet-stream,,,,,
PMP video file,.pmp,Video,application/octet-stream,,,,,
General Exchange Format video data,.gxf,Video,application/octet-stream,,,,,
Interwise participant recorded WebCast data,.vcm,Video,application/octet-stream,,,,,
H.261 encoded video,0.261,Video,application/octet-stream,,,,,
Ulead DVD MovieFactory project file,.dwz,Video,application/octet-stream,,,,,
LogMeIn PRO remote control session recording,.rcrec,Video,application/octet-stream,,,,,
eLecta Live recording,.el8,Video,application/octet-stream,,,,,
Corel VideoStudio 2 data,.vs2,Video,application/octet-stream,,,,,
Pinnacle Studio scene,.scn,Video,video/mpeg,,,,,
Multiplexed MPEG-1/2 video,.mpeg1,Video,application/octet-stream,,,,,
H.264 / MPEG-4 AVC,.h4v,Video,video/x-ms-wmv,,,,,
Video data,.wmv3,Video,application/octet-stream,,,,,
Sealed MPEG-1 video,.s11,Video,application/octet-stream,,,,,
Media Player Classic DSM streaming container,.dsm,Video,application/octet-stream,,,,,
Multimedia player movie clip,.mmp,Video,application/octet-stream,,,,,
JVC recorded multimedia data,.jmm,Video,application/octet-stream,,,,,
MIO multimedia data,.mio,Video,application/octet-stream,,,,,
Apple QuickTime real-time streaming protocol,.rtsp,Video,video/mpeg,,,,,
MPEG movie (Motion Pictures Experts Group),.mpe,Video,application/octet-stream,,,,,
TMPGEnc DVD Author video data,.dvddata,Video,video/vnd.fvt,,,,,
Fast Search & Transfer video format,.fvt,Video,application/octet-stream,,,,,
Apple QuickTime movie clip file,.moo,Video,application/octet-stream,,,,,
L3 DRM protected video,.l3,Video,application/octet-stream,,,,,
Mascom PVR video,.tp0,Video,application/octet-stream,,,,,
MCF Media Container file,.mcf,Video,application/octet-stream,,,,,
Japanese movie format,.noa,Video,application/octet-stream,,,,,
YTS YIFY video,.yts,Video,audio/mp4,,,,,
3GPP2 multimedia data,.3gp2,Video,application/octet-stream,,,,,
Samsung video data,.svi,Video,application/octet-stream,,,,,
MPEG-1 system stream,.m1s,Video,application/octet-stream,,,,,
Microsoft Windows Media Center click-to-record data,.c2r,Video,application/octet-stream,,,,,
VGuard H.264 video,.vg,Video,application/octet-stream,,,,,
Adobe Encore project,.ncor,Video,video/x-qtc,,,,,
Apple QuickTime support data,.qtc,Video,application/octet-stream,,,,,
Adobe Soundbooth score template,.sbst,Video,application/octet-stream,,,,,
Axmedis object,.axm,Video,application/octet-stream,,,,,
PPLive data,.bbv,Video,audio/mp4,,,,,
Multimedia files for wireless networks,.3gpp2,Video,application/octet-stream,,,,,
VisualNastran movie file,.wm3,Video,video/quicktime,,,,,
Apple QuickTime HD Movie,.hdmov,Video,application/octet-stream,,,,,
Squeeze project,.sqz,Video,application/octet-stream,,,,,
RealMedia High Definition video,.rmhd,Video,application/octet-stream,,,,,
Emblaze Video Format,.ev2,Video,video/x-ms-wm,,,,,
Windows Media audio or video data,.wm,Video,application/octet-stream,,,,,
Walker File Format,.rec_part2,Video,application/octet-stream,,,,,
AutoPlay Menu Studio ver.2 data,.am2,Video,application/octet-stream,,,,,
Honest Technology Video Editor project,.htp,Video,application/octet-stream,,,,,
Swift line 21 caption data,.l32,Video,video/x-4xm,,,,,
4XM video format,.4xm,Video,application/octet-stream,,,,,
Photobubble data,.bub,Video,video/vnd.vivo,,,,,
RealNetworks VivoActive movies and audio,.vivo,Video,video/vc1,,,,,
VC-1 video data,.vc1,Video,application/octet-stream,,,,,
Netviewer Meet session record,.nvl,Video,application/octet-stream,,,,,
Sony Playstation video file,.xas,Video,application/octet-stream,,,,,
OpenShot project,.osp,Video,application/octet-stream,,,,,
FLV Editor project,.ftvx,Video,video/quicktime,,,,,
Apple QuickTime movie file,.moov,Video,video/x-qtc,,,,,
Apple QuickTime movie,.qtm,Video,application/octet-stream,,,,,
DVD disk image,.dvdrip,Video,application/x-tivo,,,,,
TiVo video data,.tivo,Video,application/octet-stream,,,,,
Kodicom video recording,.bix,Video,application/octet-stream,,,,,
Wondershare Fantashow project,.wfsp,Video,application/octet-stream,,,,,
ZeroG subtitles file,.zeg,Video,video/x-roq,,,,,
RoQ video format,.roq,Video,application/octet-stream,,,,,
AutoPlay Menu Studio ver.7 data,.am7,Video,application/octet-stream,,,,,
Pixbend media,.pxv,Video,application/octet-stream,,,,,
DTC 2030 recorded movie,.$ts,Video,application/octet-stream,,,,,
UVScreenCamera segments,.uvs,Video,application/octet-stream,,,,,
