Description,Extension,Category,MIME type,,,,,
Retrospect extension data,.rxt,Plugin,Unknown,,,,,
Zaplots CFS Console addon,.addon,Plugin,Unknown,,,,,
Multimedia Fusion plugin,.cox,Plugin,Unknown,,,,,
Google Picasa plugin,.yti,Plugin,Unknown,,,,,
Ulead PhotoImpact plugin,.upi,Plugin,Unknown,,,,,
Mootzoid plugin,.mzd,Plugin,Unknown,,,,,
Maxthon add-on,.mxaddon,Plugin,Unknown,,,,,
Camtasia Studio asset information data,.assetproj,Plugin,Unknown,,,,,
Genie Backup Manager plugin file,.gpc,Plugin,Unknown,,,,,
XnView add-on,.xnp,Plugin,Unknown,,,,,
Adobe Photoshop Lightroom plug-in,.lrplugin,Plugin,Unknown,,,,,
Opera Next extension,.nex,Plugin,Unknown,,,,,
3D Studio Max plugin file,.dlo,Plugin,Unknown,,,,,
Avisynth MPAsource plugin scan data,.d2a,Plugin,Unknown,,,,,
kX add-on,.kxa,Plugin,Unknown,,,,,
HP Printer Utility for Mac assistant plugin,.assistant,Plugin,Unknown,,,,,
602Pro PC Suite plug-in,.wt6,Plugin,Unknown,,,,,
TMPGEnc VFAPI plug-in,.vfp,Plugin,Unknown,,,,,
Poker Pal third-party plug-in file,.px5,Plugin,Unknown,,,,,
Plex plugin package,.plexapp,Plugin,Unknown,,,,,
Adobe Photoshop file,.8ty,Plugin,Unknown,,,,,
TeamSpeak 3 add-on,.ts3_iconpack,Plugin,Unknown,,,,,
Pulsar/SCOPE z.matrix file,.oxe,Plugin,Unknown,,,,,
Sweet Home 3D plugin,.sh3p,Plugin,Unknown,,,,,
Apple Xcode plug-in,.xcplugin,Plugin,Unknown,,,,,
AVG Bat! plugin,.bav,Plugin,Unknown,,,,,
AutoVue graphic plugin,.mi,Plugin,Unknown,,,,,
HP Printer Utility transport plugin,.transport,Plugin,Unknown,,,,,
Pianoteq plug-in,.ptq,Plugin,Unknown,,,,,
Axure widget library,.rplib,Plugin,Unknown,,,,,
WOW Slider plugin,.wowsl,Plugin,Unknown,,,,,
Quicken Home Inventory add-on data,.idb,Plugin,Unknown,,,,,
XLActuary Excel Add-in file,.mtf,Plugin,Unknown,,,,,
DC plugin,.dcext,Plugin,Unknown,,,,,
Microsoft Excel 4 for Mac add-in file,.xla_,Plugin,Unknown,,,,,
Apple QuickTime extension resource,.qtr,Plugin,Unknown,,,,,
Snarl extension,.sxz,Plugin,Unknown,,,,,
SimpleDiagrams plugin,.sdlp,Plugin,Unknown,,,,,
Dragon UnPACKer plugin,.d5c,Plugin,Unknown,,,,,
Audials One add-on,.aplg,Plugin,Unknown,,,,,
Rhino 3D plug-in,.rhp,Plugin,Unknown,,,,,
Blade Pro plugin,.q9q,Plugin,Unknown,,,,,
Chromeleon driver configuration plugin,.cdc,Plugin,Unknown,,,,,
Mr. Contrast Adobe Photoshop plug-in,.q9s,Plugin,Unknown,,,,,
Plug-in,.plug,Plugin,Unknown,,,,,
Code::Blocks plugin,.cbplugin,Plugin,Unknown,,,,,
Espresso plug-in,.sugar,Plugin,Unknown,,,,,
Buddy API data,.rsrs,Plugin,Unknown,,,,,
HP Printer Utility monitor plugin,.monitor,Plugin,Unknown,,,,,
Apache OpenOffice (OpenOffice.org) extension control data,.xcu,Plugin,Unknown,,,,,
Pro Tools plugin,.dpm,Plugin,Unknown,,,,,
OpenOffice.org basic module,.xda,Plugin,Unknown,,,,,
SPSS extension,.spe,Plugin,Unknown,,,,,
Total Commander plug-in,.wcx,Plugin,video/quicktime,,,,,
AutoCAD AutoFlix movie,.mov,Plugin,application/vnd.epson.quickanime,,,,,
Epson QuickAnime Player plugin,.qam,Plugin,Unknown,,,,,
Adobe InDesign plugin,.indesignplugin,Plugin,Unknown,,,,,
PocketMusic plugin file,.pmp,Plugin,Unknown,,,,,
Microsoft Expression Web 4 add-in,.xadd,Plugin,Unknown,,,,,
Hemingway CMS plugin,.hmy,Plugin,Unknown,,,,,
True Launch Bar plugin,.tlbplugin,Plugin,Unknown,,,,,
Quicken Financial Planner add-on,.qfp,Plugin,chemical/x-xyz,,,,,
XYZZLY RealPlayer plug-in,.xyz,Plugin,Unknown,,,,,
SOFTIMAGE XSI add-on file,.xsiaddon,Plugin,Unknown,,,,,
XMLmind XML Editor add-on,.xxe_addon,Plugin,Unknown,,,,,
Lotus Symphony add-in application,.app,Plugin,Unknown,,,,,
Apple QuickTime related image extension,.qtx,Plugin,Unknown,,,,,
Adobe Photoshop plugin,.8ly,Plugin,Unknown,,,,,
MessengerDiscovery data,.md2p,Plugin,Unknown,,,,,
Programmer's WorkBench add-in,.mxt,Plugin,Unknown,,,,,
Privacy Eraser plugin,.pe,Plugin,Unknown,,,,,
TYPO3 compressed extension,.t3x,Plugin,Unknown,,,,,
Adium plugin file,.adiumplugin,Plugin,Unknown,,,,,
BUILD2WIN add-in,.bai,Plugin,Unknown,,,,,
ACDSee plug-in,.apl,Plugin,Unknown,,,,,
K-Meleon macro module file,.kmm,Plugin,Unknown,,,,,
FileMaker plug-in,.fmx,Plugin,Unknown,,,,,
Microsoft Excel 4 for Mac add-in,.xll_,Plugin,Unknown,,,,,
Total Commander data,.dmp,Plugin,Unknown,,,,,
theWord compressed module file,.twz,Plugin,Unknown,,,,,
Sibelius plug-in file,.plg,Plugin,Unknown,,,,,
LunarCell Adobe Photoshop plug-in,.q1q,Plugin,Unknown,,,,,
Flood Adobe Photoshop plug-in file,.q8r,Plugin,Unknown,,,,,
ComicRacks plugin,.crplugin,Plugin,Unknown,,,,,
GeoConcept add-on,.xgo,Plugin,Unknown,,,,,
ArchiCAD educational version module,.mde,Plugin,application/vnd.yellowriver-custom-menu,,,,,
Microsoft Internet Explorer custom menu plugin files,.cmp,Plugin,Unknown,,,,,
QuarkXPress extension,.xnt,Plugin,Unknown,,,,,
PhotoFiltre plug-in,.pfl,Plugin,Unknown,,,,,
HyperRESEARCH plugin,.rwt,Plugin,Unknown,,,,,
MPQDraft plugin,.qdp,Plugin,Unknown,,,,,
Maxthon plugin installation package,.m2p,Plugin,Unknown,,,,,
Winamp audio visualization studio AVS plugin effect,.ape,Plugin,Unknown,,,,,
Sonique visual plug-in,.svp,Plugin,Unknown,,,,,
nProtect GameGuard game security plug-in,.des,Plugin,Unknown,,,,,
Inkscape extension descriptor data,.inx,Plugin,Unknown,,,,,
LightWave 3D plugin,.lwz,Plugin,Unknown,,,,,
Adobe Photoshop plugin,.8by,Plugin,Unknown,,,,,
Flexify Adobe Photoshop plug-in,.q2q,Plugin,Unknown,,,,,
Adobe PageMaker add-in file,.alh5,Plugin,Unknown,,,,,
AutoVue graphic plug-in,.hgl,Plugin,Unknown,,,,,
Apple Quick Look plug-in,.qlgenerator,Plugin,Unknown,,,,,
Adobe Photoshop 5.0 SDK plugin,.8bc,Plugin,Unknown,,,,,
Microsoft Word add-in,.wwl,Plugin,Unknown,,,,,
Photoline plug-in,.8b?,Plugin,Unknown,,,,,
Adobe PhotoShop import file,.8bp,Plugin,Unknown,,,,,
Total Commander plugin,.wfx,Plugin,Unknown,,,,,
Mpeg-4 DVD filter data,.ax,Plugin,Unknown,,,,,
ConceptDraw PRO library,.cdl,Plugin,Unknown,,,,,
FileMaker Pro plug-in,.fmplugin,Plugin,Unknown,,,,,
Project ROME plug-in archive,.pnh,Plugin,Unknown,,,,,
RapidWeaver plugin,.rwplugin,Plugin,Unknown,,,,,
Adobe Acrobat plug-in,.acroplugin,Plugin,application/octet-stream,,,,,
TenCORE plug-in file,.bin,Plugin,Unknown,,,,,
Adobe InDesign import/export filter,.apin,Plugin,Unknown,,,,,
Solar Cell Adobe Photoshop plug-in file,.q4q,Plugin,Unknown,,,,,
Apple iTunes device plugin,.hplg,Plugin,Unknown,,,,,
NeoBook plugin,.nbp,Plugin,Unknown,,,,,
LiveCode plugin,.rev,Plugin,Unknown,,,,,
Interactive Disassembler plugin module,.plw,Plugin,Unknown,,,,,
AudioHQ plug-in,.ahq,Plugin,Unknown,,,,,
Senior Conta plugin,.cps,Plugin,Unknown,,,,,
Playstation Protable plug-in,.prx,Plugin,Unknown,,,,,
Netscape packetized audio file,.la,Plugin,Unknown,,,,,
ArcGIS Explorer add-in,.eaz,Plugin,Unknown,,,,,
theWord module file,.twm,Plugin,Unknown,,,,,
ItemWizard data,.iwz,Plugin,Unknown,,,,,
Digital Juice plug-in,.djplugin,Plugin,Unknown,,,,,
Hue and Cry Adobe Photoshop plug-in file,.sa9,Plugin,Unknown,,,,,
Lotus 1-2-3 add-in,.adn,Plugin,Unknown,,,,,
Adobe Photoshop selection plug-in,.8bs,Plugin,Unknown,,,,,
Gigawatt NPNFS3 plugin,.nfs,Plugin,Unknown,,,,,
SportTracks plugin,.st3plugin,Plugin,Unknown,,,,,
Apple Xcode plug-in,.xcodeplugin,Plugin,Unknown,,,,,
Multimedia Fusion plugin,.ccx,Plugin,Unknown,,,,,
Audials One add-on installation package,.aplp,Plugin,Unknown,,,,,
Melancholytron Adobe Photoshop plug-in,.q5r,Plugin,Unknown,,,,,
Adventure Maker plug-in file,.pl1,Plugin,Unknown,,,,,
GDevelop extension,.xgdw,Plugin,Unknown,,,,,
CASIO Model 9860 add-in,.g1a,Plugin,Unknown,,,,,
Total Commander Sinclair plugin,.scl,Plugin,Unknown,,,,,
Microsoft SQL Server data mining extension,.dmx,Plugin,Unknown,,,,,
AbiWord plugin,.abi,Plugin,application/x-director,,,,,
WebSTAR Directory Indexer plug-in,.dir,Plugin,Unknown,,,,,
Bryce plugin,.brm,Plugin,Unknown,,,,,
BitDefender plugin,.xmd,Plugin,Unknown,,,,,
Netscape Navigator plugin file,.nspl,Plugin,Unknown,,,,,
theWord compressed module,.twzip,Plugin,Unknown,,,,,
Git extension,.gitext,Plugin,Unknown,,,,,
Adobe FreeHand for Mac plug-in,.agx1,Plugin,Unknown,,,,,
Adobe Photoshop plugin format,.8bi8,Plugin,Unknown,,,,,
OM2 OMALI plug-in,.alx,Plugin,Unknown,,,,,
Bryce plugin,.bri,Plugin,Unknown,,,,,
DigiGuide add-in,.dgaddin,Plugin,Unknown,,,,,
MSN ASF video plugin,.asp,Plugin,Unknown,,,,,
Skype Extra plug-in,.sparc,Plugin,application/vnd.sun.xml.calc.template,,,,,
Acrobat Exchange plug-in,.stc,Plugin,Unknown,,,,,
Quicktime Player addition,.qpa,Plugin,Unknown,,,,,
Xcode plug-in data file,.xcplugindata,Plugin,Unknown,,,,,
Adobe Audition AMIO plugin,.amio,Plugin,Unknown,,,,,
Macromedia BreezePlug-in for PowerPoint sync file,.ppc,Plugin,Unknown,,,,,
Corel AfterShot Pro plugin,.bzplug,Plugin,Unknown,,,,,
MadTracker extension,.mtx,Plugin,Unknown,,,,,
Apple Mac OS X app plugin file,.docktileplugin,Plugin,Unknown,,,,,
Bryce plugin,.bro,Plugin,Unknown,,,,,
madExcept plugin,.mep,Plugin,Unknown,,,,,
Adium lib purple plugin file,.adiumlibpurpleplugin,Plugin,Unknown,,,,,
TextMate bundle,.tmbundle,Plugin,Unknown,,,,,
Apple Logic Studio WaveBurner plug-in chain preset file,.wpp,Plugin,image/x-portable-pixmap,,,,,
Total Commander PPMd archive,.ppm,Plugin,Unknown,,,,,
AbiWord plug-in,.so-abi,Plugin,Unknown,,,,,
AppleScript Editor plugin,.seplugin,Plugin,Unknown,,,,,
MessengerDiscovery file,.md2s,Plugin,Unknown,,,,,
Adobe Photoshop plugin format,.8bl,Plugin,Unknown,,,,,
Admin Mod plug-in file,.amx,Plugin,Unknown,,,,,
Canvas external tool data,.cvt,Plugin,Unknown,,,,,
Word 5 for Mac plug-in,.wdic,Plugin,Unknown,,,,,
Voxware MetaVoice plug-in,.vwp,Plugin,Unknown,,,,,
Apple QuickTime MoviePlayer plug-in file,.tvex,Plugin,Unknown,,,,,
Multimedia Fusion extension file,.mfx,Plugin,Unknown,,,,,
Girder plugin,.gml,Plugin,Unknown,,,,,
Apple Mac OS X Disk Utility plugin module file,.dumodule,Plugin,Unknown,,,,,
QuickDraw 3D extension,.q3x,Plugin,Unknown,,,,,
Adobe Audition control surface plugin,.acsrf,Plugin,Unknown,,,,,
Coda for Mac plugin,.codaplugin,Plugin,Unknown,,,,,
Word 6 for Mac Add-in file,.wdll,Plugin,Unknown,,,,,
ConceptDraw PRO XML library,.cdlx,Plugin,Unknown,,,,,
Adobe Lightroom module file,.agmodule,Plugin,text/calendar,,,,,
Infotriever plug-in,.ifb,Plugin,Unknown,,,,,
Adobe Acrobat for Mac Plug-In file,.xtnd,Plugin,Unknown,,,,,
ThumbsPlus file plugin,.tp_plugin,Plugin,Unknown,,,,,
Adobe PageMaker for Mac plug-in file,.ai65,Plugin,Unknown,,,,,
Microsoft Excel 5 for Mac add-in file,.xla5,Plugin,Unknown,,,,,
The Bat! plug-in,.tbp,Plugin,Unknown,,,,,
Audiotools plug-in,.ats,Plugin,Unknown,,,,,
Adobe Photoshop Lightroom plugin file,.lrdevplugin,Plugin,application/vnd.hzn-3d-crossword,,,,,
3D crossword plugin for Netscape/IE/Opera,.x3d,Plugin,Unknown,,,,,
Glitterato Adobe Photoshop plug-in file,.q9r,Plugin,Unknown,,,,,
Total Commander file,.mbx,Plugin,Unknown,,,,,
Growl display plugin file,.growlview,Plugin,Unknown,,,,,
Apple iTunes visual plugin file,.hvpl,Plugin,Unknown,,,,,
The Games Factory extension file,.gox,Plugin,Unknown,,,,,
Pegasus Mail form fact file,.fff,Plugin,Unknown,,,,,
Adobe Photoshop for Mac plugin file,.8bam,Plugin,Unknown,,,,,
Adobe plug-in file,.arpi,Plugin,Unknown,,,,,
Pixelformer plugin,.pfplugin,Plugin,text/vnd.fmi.flexstor,,,,,
FlexTk plugin file,.flx,Plugin,Unknown,,,,,
Adobe Photoshop for Mac commands and plugins file,.8bfk,Plugin,Unknown,,,,,
Apple QuickTime Player extension file,.qpx,Plugin,Unknown,,,,,
Athena service configuration tool add data,.add,Plugin,Unknown,,,,,
Alice plugin,.ali,Plugin,audio/aiff,,,,,
Beatnik Player plug-in file,.aif,Plugin,Unknown,,,,,
Adobe Photoshop plug-in file,.8bpi,Plugin,Unknown,,,,,
EventGhost plugin,.egplugin,Plugin,Unknown,,,,,
Word for Mac Add-in file,.wdgp,Plugin,Unknown,,,,,
Microsoft Excel 98 for Mac add-in file,.xla8,Plugin,Unknown,,,,,
Netscape PHYSICON Interactive plugin file,.sms,Plugin,Unknown,,,,,
Multitude FireTalk Web Launcher plugin file,.mft,Plugin,Unknown,,,,,
Interactive Disassembler plugin file,.plx64,Plugin,Unknown,,,,,
theWord text module file,.ot,Plugin,Unknown,,,,,
VAKCER Project Tracker DLL plug-in,.vpg,Plugin,Unknown,,,,,
Adobe Photoshop for Mac filter file,.8bfm,Plugin,Unknown,,,,,
Adobe Photoshop for Mac plug-in file,.8bxm,Plugin,Unknown,,,,,
Miva Merchant module file,.mvt,Plugin,Unknown,,,,,
Xcode Interface Builder plug-in file,.ibplugin,Plugin,Unknown,,,,,
Interactive Disassembler plugin file,.plx,Plugin,Unknown,,,,,
iAd Producer plugin,.iadplug,Source code and script,Unknown,,,,,
Active Server Page Extended ASP.NET script,.aspx,Source code and script,application/json,,,,,
JavaScript object notation data interchange format,.json,Source code and script,Unknown,,,,,
Java Servlet file,.do,Source code and script,Unknown,,,,,
Jakarta (Java) Server page,.jsp,Source code and script,application/java-serialized-object,,,,,
Java serialized object,.ser,Source code and script,Unknown,,,,,
Arduino sketch,.ino,Source code and script,application/xml,,,,,
XML document,.xml,Source code and script,text/x-asm,,,,,
Source code,.s,Source code and script,gcode,,,,,
G-code source code,.gcode,Source code and script,Unknown,,,,,
Adobe Illustrator action data,.aia,Source code and script,text/x-python,,,,,
Python script language source code,.py,Source code and script,Unknown,,,,,
Python script,.rpy,Source code and script,Unknown,,,,,
PHP script or page,.php,Source code and script,application/rdf+xml,,,,,
Resource Description Framework data,.rdf,Source code and script,text/x-c,,,,,
C/C++ main source code,.c,Source code and script,Unknown,,,,,
Adobe Fireworks batch script,.jsf,Source code and script,application/atomsvc+xml,,,,,
Atom Syndication file format,.atomsvc,Source code and script,application/vnd.palm,,,,,
Microsoft Visual Studio Visual C++ program database,.pdb,Source code and script,Unknown,,,,,
Active Server Page script page,.asp,Source code and script,application/octet-stream,,,,,
Object format,.o,Source code and script,application/marc,,,,,
mIRC script,.mrc,Source code and script,text/vnd.sun.j2me.app-descriptor,,,,,
Java application descriptor file,.jad,Source code and script,text/javascript,,,,,
JavaScript source code script,.js,Source code and script,text/x-asm,,,,,
Assembler source code,.asm,Source code and script,text/html,,,,,
HTML Hypertext Markup Language web page,.htm,Source code and script,Unknown,,,,,
Basic source code,.bas,Source code and script,application/x-shellscript,,,,,
Unix Bourne Shell (Bash) script,.sh,Source code and script,text/x-c,,,,,
C/C++ header data,.h,Source code and script,Unknown,,,,,
R script,.r,Source code and script,text/x-c,,,,,
C++ main source code file format,.cpp,Source code and script,Unknown,,,,,
Microsoft Linker input library data,.lib,Source code and script,text/x-pascal,,,,,
Python module,.p,Source code and script,Unknown,,,,,
Objective-C language source data,.m,Source code and script,Unknown,,,,,
Ren'Py game engine compiled script,.rpyc,Source code and script,Unknown,,,,,
COREX lexicon link-up file,.lxk,Source code and script,Unknown,,,,,
Microsoft Visual Studio solution data,.sln,Source code and script,Unknown,,,,,
Resource script,.rcc,Source code and script,application/x-msdownload,,,,,
Batch file (executable),.bat,Source code and script,application/x-python-code,,,,,
Compiled Python script source code,.pyc,Source code and script,Unknown,,,,,
Lua script,.lua,Source code and script,Unknown,,,,,
Apple Automator action script,.action,Source code and script,Unknown,,,,,
TOML source code,.toml,Source code and script,Unknown,,,,,
XPanel project,.c3p,Source code and script,Unknown,,,,,
Perl POD-formated text,.pod,Source code and script,Unknown,,,,,
GNU C Compiler ELF/DWARF format absolute data,.abs,Source code and script,Unknown,,,,,
SQL Application Language source code,.sal,Source code and script,Unknown,,,,,
Lua compiled source code,.luac,Source code and script,Unknown,,,,,
Visual Basic script,.vbs,Source code and script,Unknown,,,,,
Astah project,.asta,Source code and script,Unknown,,,,,
Assembly language header,.asi,Source code and script,application/x-wais-source,,,,,
Generally source code,.src,Source code and script,Unknown,,,,,
Microsoft Visual Studio Visual C#.NET source data,.cs,Source code and script,Unknown,,,,,
Command & Conquer World Builder script,.scb,Source code and script,Unknown,,,,,
Xcode compiled core database data model file format,.mom,Source code and script,text/plain,,,,,
Perl script language source code,.pl,Source code and script,Unknown,,,,,
Python Pickle data,.pickle,Source code and script,Unknown,,,,,
Graph Markup Language source code,.graphml,Source code and script,application/vnd.ms-excel,,,,,
Microsoft Excel add-in,.xla,Source code and script,Unknown,,,,,
InstallShield script,.ins,Source code and script,Unknown,,,,,
Meshlab filter script,.mlx,Source code and script,Unknown,,,,,
Microsoft Visual F# source code,.fs,Source code and script,Unknown,,,,,
HTML5 Hypertext Markup Language revision 5 source,.html5,Source code and script,Unknown,,,,,
JavaServer Faces FacesServlet page,.faces,Source code and script,Unknown,,,,,
SPSS script,.spss,Source code and script,Unknown,,,,,
IPIX IPScript data,.ips,Source code and script,Unknown,,,,,
NuGet source code package,.nupkg,Source code and script,Unknown,,,,,
Windows Installer transform script,.mst,Source code and script,Unknown,,,,,
Microsoft Windows script,.ws,Source code and script,Unknown,,,,,
Java manifest,.mf,Source code and script,Unknown,,,,,
Microsoft Visual Studio developer intermediate debug data,.idb,Source code and script,Unknown,,,,,
Adobe ColdFusion template,.cfm,Source code and script,Unknown,,,,,
